subject,label,temp_mean,temp_std,temp_max,temp_min,temp_range,temp_deriv,eda_mean,eda_std,eda_max,eda_min,eda_range,eda_deriv,bvp_mean,bvp_std,bvp_max,bvp_min,bvp_range,bvp_deriv
S2,1,35.809999999999995,0.022730302828308988,35.87,35.75,0.11999999999999744,-0.0003347280334727962,1.3197616916666666,0.16483584241399055,1.693073,0.874303,0.81877,-0.0007076820083682006,0.324166666666666,121.95292367059331,485.94,-436.58,922.52,-0.7904602510460248
S2,1,35.759,0.05150080905513361,35.87,35.66,0.21000000000000085,-0.0004184100418410101,1.1124327749999998,0.14084270804648014,1.436807,0.83192,0.604887,-0.0016945564853556485,1.5505416666666667,100.10482512991035,416.61,-345.19,761.8,-0.30435146443514505
S2,1,35.71,0.02633122354417567,35.77,35.66,0.11000000000000654,0.0,0.8888389958333333,0.1520557148490452,1.19848,0.679441,0.519039,-0.0021180962343096237,0.17483333333333353,48.31933478576551,201.6,-345.19,546.79,1.4614644351464439
S2,1,35.727666666666664,0.03257640591321038,35.79,35.66,0.13000000000000256,0.0003347280334727962,0.7013574958333333,0.07683822302522997,0.843452,0.570528,0.27292399999999994,-0.0011258535564853554,-0.3469166666666666,36.4665055632296,173.22,-187.83,361.05,-0.05422594142259423
S2,1,35.784666666666666,0.03989430480100647,35.87,35.71,0.1599999999999966,0.00046025104602513196,0.5811205666666666,0.06898680719918282,0.720444,0.474428,0.24601599999999996,-0.0006004560669456067,-1.2268750000000006,64.84480789920174,234.84,-369.31,604.15,0.18648535564853602
S2,1,35.831833333333336,0.023698921681985476,35.89,35.79,0.10000000000000142,8.368200836821392e-05,0.5134395583333333,0.023343105147914604,0.569247,0.474428,0.09481899999999993,-0.00030558995815899555,0.41404166666666586,84.77242133548857,256.96,-448.86,705.8199999999999,0.1125104602510455
S2,1,35.82083333333334,0.029904941992178146,35.89,35.77,0.11999999999999744,-0.00020920502092051994,0.5053095541666667,0.01522074683686927,0.567966,0.468022,0.09994399999999998,-0.00031124267782426773,1.1376250000000003,65.07254525227499,256.96,-448.86,705.8199999999999,0.600543933054392
S2,1,35.794000000000004,0.015405626677721523,35.83,35.77,0.05999999999999517,-8.368200836818419e-05,0.4807802458333334,0.031864951038621296,0.539707,0.420543,0.11916400000000005,-0.00031124267782426773,0.10308333333333349,26.13225463215377,122.55,-104.5,227.05,0.20330543933054387
S2,1,35.81833333333334,0.03302356061292519,35.89,35.77,0.11999999999999744,0.0004184100418410101,0.423260925,0.037718191607446425,0.493579,0.368009,0.12557000000000001,-0.0005200376569037656,-0.12812500000000016,21.28223588820126,83.41,-146.95,230.35999999999999,-0.124309623430962
S2,1,35.86933333333333,0.030868898407439425,35.91,35.81,0.09999999999999432,0.0003347280334727962,0.3761667541666667,0.02143204691096333,0.420543,0.337257,0.08328600000000003,-0.0003431171548117157,-1.0221666666666656,72.27971917814997,305.48,-576.89,882.37,-0.009330543933054082
S2,1,35.87649999999999,0.02554897258208204,35.91,35.83,0.0799999999999983,-0.0002092050209204902,0.3454735583333334,0.022445003090441548,0.389792,0.297536,0.092256,-0.00030022594142259406,-2.8607916666666653,98.03468716797776,331.41,-576.89,908.3,0.28154811715481015
S2,1,35.83016666666667,0.03551955642866135,35.91,35.77,0.13999999999999346,-0.0004184100418409804,0.3054906416666667,0.028565328971002543,0.364165,0.257814,0.10635100000000003,-0.000343121338912134,-3.3224999999999993,87.40944143559855,331.41,-403.02,734.4300000000001,0.08343096234309355
S2,1,35.781,0.025409971795864815,35.83,35.75,0.0799999999999983,-0.0002510460251045823,0.26213349583333334,0.02296088714731313,0.314193,0.2245,0.089693,-0.00022517154811715483,-2.236124999999999,80.71271723155553,586.95,-422.18,1009.1300000000001,0.019832635983262743
S2,1,35.76533333333334,0.01564892612574069,35.79,35.75,0.03999999999999915,-8.368200836818419e-05,0.2272492541666667,0.018896817539105167,0.260377,0.196311,0.06406600000000001,-0.0002573347280334727,-1.3884583333333325,77.917825451176,586.95,-422.18,1009.1300000000001,-0.03255230125523053
S2,1,35.800666666666665,0.035817438335102605,35.87,35.75,0.11999999999999744,0.00037656903765691805,0.19854221666666666,0.015963543051373513,0.247564,0.173247,0.074317,-0.0002841464435146443,-0.49708333333333304,51.06764578960984,351.65,-309.08,660.73,-0.7660251046025109
S2,1,35.86766666666666,0.04047083998249525,35.93,35.79,0.14000000000000057,0.0004184100418409804,0.1792368875,0.008885279047381898,0.197592,0.162996,0.03459599999999999,-0.0001393933054393306,0.8254583333333331,73.37100385340653,349.1,-399.22,748.32,0.7207949790794981
S2,1,35.90099999999999,0.014798648586947948,35.93,35.87,0.060000000000002274,8.368200836821392e-05,0.16474717916666665,0.010025890286174056,0.192467,0.14762,0.044847,-0.00010186610878661091,-0.6953333333333338,75.69816265860678,349.1,-399.22,748.32,-0.12280334728033732
S2,1,35.90566666666667,0.01865177977805028,35.95,35.87,0.0800000000000054,0.00016736401673642784,0.1518911125,0.005832847796446468,0.164277,0.141213,0.023064,-8.041841004184107e-05,-1.2474166666666666,35.20202341475636,362.89,-184.98,547.87,0.6736820083682006
S2,1,35.913333333333334,0.017575235101952483,35.95,35.89,0.060000000000002274,0.0,0.14463552916666667,0.004672152586422663,0.164277,0.127119,0.037158,-8.577824267782435e-05,-0.09958333333333318,31.667084512045875,362.89,-103.63,466.52,-0.14464435146443536
S2,1,35.90833333333333,0.015184055965240154,35.95,35.89,0.060000000000002274,-0.0001673640167363981,0.13422468750000002,0.008514467655986705,0.14762,0.120712,0.026908,-0.00010186192468619244,-1.3246666666666664,39.804747935669965,150.47,-275.75,426.22,-0.10430962343096141
S2,1,35.8945,0.018113070786956946,35.93,35.84,0.0899999999999963,0.0,0.12184382083333332,0.005613731580276999,0.133525,0.110461,0.023064,-5.897489539748958e-05,-0.7742916666666667,44.4268781201005,150.47,-275.75,426.22,-0.2182426778242663
S2,1,35.886833333333335,0.016682492486302814,35.93,35.84,0.0899999999999963,0.0,0.11276237916666668,0.005204153228630569,0.125837,0.101492,0.024345000000000006,-6.43347280334728e-05,0.5555833333333328,33.33169322121298,128.45,-154.84,283.28999999999996,-0.19301255230125544
S2,1,35.898666666666664,0.018024674446127438,35.93,35.87,0.060000000000002274,0.0001673640167363981,0.10442305000000002,0.004714557088334669,0.114305,0.096367,0.01793800000000001,-5.8974895397489526e-05,0.27874999999999955,25.19371687751068,122.96,-154.84,277.8,0.3000836820083678
S2,1,35.91700000000001,0.01666333299993401,35.97,35.89,0.0799999999999983,0.000251046025104612,0.09912691250000001,0.004974467504652509,0.113024,0.091241,0.021782999999999997,3.21673640167364e-05,-0.2812083333333334,22.91290776592815,162.1,-171.99,334.09000000000003,-0.06468619246861895
S2,1,35.928000000000004,0.01777638883463289,35.97,35.89,0.0799999999999983,-8.368200836821392e-05,0.10569370833333333,0.009122146269195492,0.116868,0.091241,0.025626999999999997,7.505857740585773e-05,-0.11258333333333331,23.737108904829213,162.1,-171.99,334.09000000000003,0.021589958158995653
S2,1,35.893,0.045140521338002566,35.97,35.81,0.1599999999999966,-0.0005857740585774083,0.11428928333333334,0.0014396483753758144,0.118149,0.110461,0.007688,2.1443514644351482e-05,0.146375,19.86757900725136,56.38,-78.59,134.97,-0.014476987447698214
S2,1,35.809333333333335,0.05240441033178626,35.91,35.73,0.17999999999999972,-0.0006694560669456221,0.11530908750000002,0.0012120919333300372,0.118149,0.111743,0.006406000000000009,1.60836820083682e-05,0.040041666666666725,21.683007623058135,36.21,-58.68,94.89,-0.042845188284518776
S2,1,35.721999999999994,0.049558046773456786,35.81,35.65,0.1600000000000037,-0.00062761506276153,0.11100060416666667,0.006421889959802797,0.118149,0.098929,0.01922,-5.361087866108789e-05,-0.5422083333333332,25.04876109125154,99.33,-100.35,199.68,0.22644351464435136
S2,1,35.67399999999999,0.023395156193822767,35.73,35.65,0.0799999999999983,-0.000125523012552306,0.10409738333333333,0.006613506994128674,0.129681,0.092523,0.037158,-4.825104602510461e-05,0.04866666666666705,33.50658943733639,181.61,-150.01,331.62,-0.19774058577405887
S2,1,35.68416666666666,0.023187041400078386,35.73,35.65,0.0799999999999983,4.184100418409209e-05,0.10209532916666668,0.007198014336432141,0.129681,0.091241,0.03843999999999999,-1.60836820083682e-05,1.688,49.50577092790967,411.13,-172.18,583.31,-0.04682008368200818
S2,1,35.68366666666666,0.02462834861608894,35.73,35.63,0.09999999999999432,-0.00020920502092051994,0.10042958750000001,0.006198268571464972,0.129681,0.091241,0.03843999999999999,-3.21673640167364e-05,1.0272083333333333,43.828365245845795,411.13,-172.18,583.31,0.6260251046025098
S2,1,35.64383333333333,0.02910278718992711,35.71,35.59,0.11999999999999744,-0.0003347280334727962,0.0973169875,0.0021694740289627226,0.101492,0.092523,0.008969000000000005,-5.359832635983282e-06,-0.20412499999999975,18.013051497022236,45.94,-58.34,104.28,-0.013514644351464452
S2,1,35.62183333333334,0.015967849643023918,35.66,35.59,0.06999999999999318,-8.368200836818419e-05,0.09431653333333334,0.005816575177790526,0.10918,0.075865,0.033315,-9.114225941422593e-05,-0.2628333333333333,42.66905507670505,289.79,-199.15,488.94000000000005,-0.10644351464435058
S2,1,35.65983333333334,0.04503671341867066,35.73,35.59,0.13999999999999346,0.0005020920502091943,0.09516543333333335,0.009193115764194907,0.10918,0.074584,0.034596,4.289121338912132e-05,-0.38558333333333344,58.16921993626059,289.79,-375.86,665.6500000000001,-0.1615481171548117
S2,1,35.6875,0.030145480589965884,35.73,35.63,0.09999999999999432,0.0,0.10903585833333335,0.014556417014668498,0.130963,0.074584,0.056379,0.00019836820083682006,0.01504166666666696,45.711963769509296,203.1,-375.86,578.96,0.14163179916317942
