subject,n_test_samples,accuracy,f1_macro
S10,75,0.7733333333333333,0.5682578539371685
S11,76,0.8026315789473685,0.6742104590205856
S13,75,0.7733333333333333,0.5749140893470791
S14,75,0.5333333333333333,0.2318840579710145
S15,75,0.9066666666666666,0.8570212765957447
S16,73,0.7945205479452054,0.7090245775729646
S17,75,0.44,0.443659281894576
S2,71,0.7323943661971831,0.5333333333333333
S3,73,0.684931506849315,0.6974584555229716
S4,72,0.8333333333333334,0.6222222222222222
S5,73,0.684931506849315,0.48446368446368443
S6,73,0.7397260273972602,0.5332737163723079
S7,73,0.7123287671232876,0.5169348659003831
S8,74,0.8108108108108109,0.6070707070707071
S9,72,0.8194444444444444,0.7985645933014354
